  epoch    kl       lr    tr_loss    tr_acc    te_loss    te_acc    sp_0    sp_1    sp_2    time
     90     1  5.2e-06   3.94e+01      97.9   4.04e+01      97.7   0.973   0.916   0.344   12.38
     91     1  4.9e-06   3.94e+01      98.0   4.09e+01      97.7   0.973   0.916   0.344   12.94
     92     1  4.7e-06   3.93e+01      97.9   4.06e+01      97.7   0.973   0.916   0.344   12.97
     93     1  4.5e-06   3.93e+01      98.0   4.06e+01      97.7   0.973   0.916   0.344   12.63
     94     1  4.2e-06   3.91e+01      98.0   4.07e+01      97.7   0.973   0.916   0.344   13.10
     95     1  4.0e-06   3.94e+01      97.9   4.06e+01      97.8   0.973   0.916   0.344   12.82
     96     1  3.8e-06   3.91e+01      98.0   4.02e+01      97.8   0.973   0.916   0.344   12.86
     97     1  3.6e-06   3.91e+01      98.0   4.05e+01      97.8   0.973   0.916   0.344   12.73
     98     1  3.5e-06   3.92e+01      98.0   4.07e+01      97.8   0.973   0.916   0.346   12.90
     99     1  3.3e-06   3.94e+01      98.0   4.04e+01      97.7   0.973   0.916   0.345   12.83
    100     1  3.1e-06   3.93e+01      98.0   4.04e+01      97.8   0.973   0.917   0.346   12.77
